timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:42:59,2106,403,14.16,15.47,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:00,2106,403,14.19,15.48,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:00,2106,403,14.19,15.48,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:01,2106,403,14.2,15.51,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:02,2106,403,14.22,15.54,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:03,2106,403,14.24,15.56,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:04,2106,403,14.25,15.58,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:05,2106,403,14.3,15.61,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:06,2106,403,14.32,15.63,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:07,2106,403,14.34,15.66,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:08,2106,403,14.35,15.68,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:09,2106,403,14.37,15.7,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:10,2106,403,14.4,15.71,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:11,2106,403,14.41,15.74,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:12,2106,403,14.43,15.76,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:13,2106,403,14.45,15.77,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:14,2106,403,14.48,15.79,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:15,2106,403,14.5,15.8,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:16,2106,403,14.51,15.83,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:17,2106,403,14.54,15.85,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:18,2106,403,14.55,15.89,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:19,2106,403,14.59,15.91,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:20,2106,403,14.62,15.94,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:21,2106,403,14.64,15.95,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:22,2106,403,14.66,16.0,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:23,2106,403,14.69,16.04,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:24,2106,403,14.73,16.09,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:25,2106,403,14.75,16.119999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:26,2106,403,14.79,16.15,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:27,2106,403,14.81,16.2,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:28,2106,403,14.85,16.24,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:29,2106,403,14.87,16.29,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:30,2106,403,14.9,16.31,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:31,2106,403,14.93,16.34,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:32,2106,403,14.95,16.36,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:33,2106,403,14.96,16.38,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:34,2106,403,14.98,16.4,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:35,2106,403,15.01,16.419999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:36,2106,403,15.03,16.45,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:37,2106,403,15.05,16.47,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:38,2106,403,15.08,16.49,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:39,2106,403,15.1,16.529999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:40,2106,403,15.13,16.549999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:41,2106,403,15.15,16.569999999999997,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:42,2106,403,15.16,16.59,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:43,2106,403,15.18,16.619999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:44,2106,403,15.2,16.63,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:45,2106,403,15.23,16.669999999999998,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:46,2106,403,15.26,16.709999999999994,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:47,2106,403,15.29,16.729999999999997,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:43:48,2106,403,15.31,16.77,299,0,1,9700,184821,355100,355184,67792
