,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:30:31,122,8,511.998046875,39,435,512.0,377,8,511.998046875,3368,3,512.0,5
2024-07-24 09:30:32,123,8,511.998046875,39,439,512.0,380,8,511.998046875,3395,3,512.0,5
2024-07-24 09:30:33,124,8,511.998046875,39,442,512.0,383,8,511.998046875,3422,3,512.0,5
2024-07-24 09:30:34,125,8,511.998046875,39,446,512.0,386,8,511.998046875,3449,3,512.0,5
2024-07-24 09:30:35,126,8,511.998046875,39,449,512.0,389,8,511.998046875,3476,3,512.0,5
2024-07-24 09:30:36,127,8,511.998046875,39,452,512.0,392,8,511.998046875,3503,3,512.0,5
2024-07-24 09:30:37,128,8,511.998046875,39,456,512.0,395,8,511.998046875,3530,3,512.0,5
2024-07-24 09:30:38,129,8,511.998046875,39,459,512.0,398,8,511.998046875,3557,3,512.0,5
2024-07-24 09:30:39,130,8,511.998046875,39,463,512.0,401,8,511.998046875,3584,3,512.0,5
2024-07-24 09:30:40,131,8,511.998046875,39,466,512.0,404,8,511.998046875,3611,3,512.0,5
2024-07-24 09:30:41,132,8,511.998046875,39,470,512.0,407,8,511.998046875,3638,3,512.0,5
2024-07-24 09:30:42,133,8,511.998046875,39,473,512.0,410,8,511.998046875,3665,3,512.0,5
2024-07-24 09:30:43,134,8,511.998046875,39,477,512.0,413,8,511.998046875,3692,3,512.0,5
2024-07-24 09:30:44,135,8,511.998046875,39,480,512.0,416,8,511.998046875,3719,3,512.0,5
2024-07-24 09:30:45,136,8,511.998046875,39,484,512.0,419,8,511.998046875,3746,3,512.0,5
2024-07-24 09:30:46,137,8,511.998046875,39,487,512.0,422,8,511.998046875,3773,3,512.0,5
2024-07-24 09:30:47,138,8,511.998046875,39,491,512.0,425,8,511.998046875,3800,3,512.0,5
2024-07-24 09:30:48,139,8,511.998046875,39,494,512.0,428,8,511.998046875,3827,3,512.0,5
2024-07-24 09:30:49,140,8,511.998046875,39,498,512.0,431,8,511.998046875,3854,3,512.0,5
2024-07-24 09:30:50,141,8,511.998046875,39,501,512.0,434,8,511.998046875,3881,3,512.0,5
